"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","262","Create file with empty filename","LMS service","Sat Apr 04 11:17:43 UTC 2026","passed","Sat Apr 04 11:17:43 UTC 2026","Validate entity","Files","",""
"","12","Get user me","LMS service","Sat Apr 04 11:17:46 UTC 2026","passed","Sat Apr 04 11:17:46 UTC 2026","Get entities","Users","",""
"","25","Delete file","LMS service","Sat Apr 04 11:17:44 UTC 2026","passed","Sat Apr 04 11:17:44 UTC 2026","Delete entity","Files","",""
"","303","Get course","LMS service","Sat Apr 04 11:17:37 UTC 2026","passed","Sat Apr 04 11:17:37 UTC 2026","Get entities","Courses","",""
"","16","Create file with empty directory","LMS service","Sat Apr 04 11:17:43 UTC 2026","passed","Sat Apr 04 11:17:43 UTC 2026","Validate entity","Files","",""
"","18","Get exercise","LMS service","Sat Apr 04 11:17:40 UTC 2026","passed","Sat Apr 04 11:17:40 UTC 2026","Get entity","Exercises","",""
"","24","Update exercise","LMS service","Sat Apr 04 11:17:40 UTC 2026","passed","Sat Apr 04 11:17:40 UTC 2026","Update entity","Exercises","",""
"","16","Get file with incorrect file id","LMS service","Sat Apr 04 11:17:44 UTC 2026","passed","Sat Apr 04 11:17:44 UTC 2026","Validate entity","Files","",""
"","25","Create course","LMS service","Sat Apr 04 11:17:37 UTC 2026","passed","Sat Apr 04 11:17:37 UTC 2026","Create entity","Courses","",""
"","34","Update course","LMS service","Sat Apr 04 11:17:39 UTC 2026","passed","Sat Apr 04 11:17:39 UTC 2026","Update entity","Courses","",""
"","555","Create user","LMS service","Sat Apr 04 11:17:44 UTC 2026","passed","Sat Apr 04 11:17:45 UTC 2026","Create entity","Users","",""
"","263","Create file","LMS service","Sat Apr 04 11:17:42 UTC 2026","passed","Sat Apr 04 11:17:42 UTC 2026","Create entity","Files","",""
"","283","Login with correct email and password","LMS service","Sat Apr 04 11:17:36 UTC 2026","passed","Sat Apr 04 11:17:36 UTC 2026","Login","Authentication","",""
"","16","Get file","LMS service","Sat Apr 04 11:17:42 UTC 2026","passed","Sat Apr 04 11:17:42 UTC 2026","Get entity","Files","",""
"","529","Create user","LMS service","Sat Apr 04 11:17:45 UTC 2026","passed","Sat Apr 04 11:17:45 UTC 2026","Create entity","Users","",""
"","287","Create user","LMS service","Sat Apr 04 11:17:44 UTC 2026","passed","Sat Apr 04 11:17:45 UTC 2026","Create entity","Users","",""
"","20","Create exercise","LMS service","Sat Apr 04 11:17:39 UTC 2026","passed","Sat Apr 04 11:17:39 UTC 2026","Create entity","Exercises","",""
"","26","Delete exercise","LMS service","Sat Apr 04 11:17:41 UTC 2026","passed","Sat Apr 04 11:17:41 UTC 2026","Delete entity","Exercises","",""
"","16","Get exercises","LMS service","Sat Apr 04 11:17:41 UTC 2026","passed","Sat Apr 04 11:17:41 UTC 2026","Get entities","Exercises","",""
