"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","300","Get course","LMS service","Wed Apr 01 13:37:39 UTC 2026","passed","Wed Apr 01 13:37:40 UTC 2026","Get entities","Courses","",""
"","284","Login with correct email and password","LMS service","Wed Apr 01 13:37:38 UTC 2026","passed","Wed Apr 01 13:37:39 UTC 2026","Login","Authentication","",""
"","31","Create course","LMS service","Wed Apr 01 13:37:40 UTC 2026","passed","Wed Apr 01 13:37:40 UTC 2026","Create entity","Courses","",""
"","265","Create file with empty filename","LMS service","Wed Apr 01 13:37:45 UTC 2026","passed","Wed Apr 01 13:37:46 UTC 2026","Validate entity","Files","",""
"","287","Create user","LMS service","Wed Apr 01 13:37:47 UTC 2026","passed","Wed Apr 01 13:37:47 UTC 2026","Create entity","Users","",""
"","523","Create user","LMS service","Wed Apr 01 13:37:47 UTC 2026","passed","Wed Apr 01 13:37:48 UTC 2026","Create entity","Users","",""
"","559","Create user","LMS service","Wed Apr 01 13:37:47 UTC 2026","passed","Wed Apr 01 13:37:47 UTC 2026","Create entity","Users","",""
"","22","Update exercise","LMS service","Wed Apr 01 13:37:42 UTC 2026","passed","Wed Apr 01 13:37:42 UTC 2026","Update entity","Exercises","",""
"","14","Get file with incorrect file id","LMS service","Wed Apr 01 13:37:47 UTC 2026","passed","Wed Apr 01 13:37:47 UTC 2026","Validate entity","Files","",""
"","27","Update course","LMS service","Wed Apr 01 13:37:41 UTC 2026","passed","Wed Apr 01 13:37:41 UTC 2026","Update entity","Courses","",""
"","16","Create file with empty directory","LMS service","Wed Apr 01 13:37:46 UTC 2026","passed","Wed Apr 01 13:37:46 UTC 2026","Validate entity","Files","",""
"","12","Get user me","LMS service","Wed Apr 01 13:37:48 UTC 2026","passed","Wed Apr 01 13:37:48 UTC 2026","Get entities","Users","",""
"","22","Get exercise","LMS service","Wed Apr 01 13:37:42 UTC 2026","passed","Wed Apr 01 13:37:42 UTC 2026","Get entity","Exercises","",""
"","26","Delete file","LMS service","Wed Apr 01 13:37:47 UTC 2026","passed","Wed Apr 01 13:37:47 UTC 2026","Delete entity","Files","",""
"","23","Create exercise","LMS service","Wed Apr 01 13:37:41 UTC 2026","passed","Wed Apr 01 13:37:41 UTC 2026","Create entity","Exercises","",""
"","35","Delete exercise","LMS service","Wed Apr 01 13:37:43 UTC 2026","passed","Wed Apr 01 13:37:43 UTC 2026","Delete entity","Exercises","",""
"","15","Get file","LMS service","Wed Apr 01 13:37:45 UTC 2026","passed","Wed Apr 01 13:37:45 UTC 2026","Get entity","Files","",""
"","16","Get exercises","LMS service","Wed Apr 01 13:37:43 UTC 2026","passed","Wed Apr 01 13:37:43 UTC 2026","Get entities","Exercises","",""
"","265","Create file","LMS service","Wed Apr 01 13:37:44 UTC 2026","passed","Wed Apr 01 13:37:45 UTC 2026","Create entity","Files","",""
