"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","283","Get file","LMS service","Tue Apr 07 07:46:32 UTC 2026","passed","Tue Apr 07 07:46:33 UTC 2026","Get entity","Files","",""
"","31","Get course","LMS service","Tue Apr 07 07:46:26 UTC 2026","passed","Tue Apr 07 07:46:26 UTC 2026","Get entities","Courses","",""
"","261","Create file with empty filename","LMS service","Tue Apr 07 07:46:32 UTC 2026","passed","Tue Apr 07 07:46:32 UTC 2026","Validate entity","Files","",""
"","261","Create file with empty directory","LMS service","Tue Apr 07 07:46:33 UTC 2026","passed","Tue Apr 07 07:46:33 UTC 2026","Validate entity","Files","",""
"","18","Get exercises","LMS service","Tue Apr 07 07:46:31 UTC 2026","passed","Tue Apr 07 07:46:31 UTC 2026","Get entities","Exercises","",""
"","557","Create user","LMS service","Tue Apr 07 07:46:34 UTC 2026","passed","Tue Apr 07 07:46:35 UTC 2026","Create entity","Users","",""
"","29","Create course","LMS service","Tue Apr 07 07:46:28 UTC 2026","passed","Tue Apr 07 07:46:28 UTC 2026","Create entity","Courses","",""
"","264","Get file with incorrect file id","LMS service","Tue Apr 07 07:46:34 UTC 2026","passed","Tue Apr 07 07:46:34 UTC 2026","Validate entity","Files","",""
"","12","Get user me","LMS service","Tue Apr 07 07:46:36 UTC 2026","passed","Tue Apr 07 07:46:36 UTC 2026","Get entities","Users","",""
"","552","Login with correct email and password","LMS service","Tue Apr 07 07:46:26 UTC 2026","passed","Tue Apr 07 07:46:26 UTC 2026","Login","Authentication","",""
"","23","Create exercise","LMS service","Tue Apr 07 07:46:29 UTC 2026","passed","Tue Apr 07 07:46:29 UTC 2026","Create entity","Exercises","",""
"","22","Get exercise","LMS service","Tue Apr 07 07:46:30 UTC 2026","passed","Tue Apr 07 07:46:30 UTC 2026","Get entity","Exercises","",""
"","27","Update course","LMS service","Tue Apr 07 07:46:28 UTC 2026","passed","Tue Apr 07 07:46:28 UTC 2026","Update entity","Courses","",""
"","25","Update exercise","LMS service","Tue Apr 07 07:46:29 UTC 2026","passed","Tue Apr 07 07:46:29 UTC 2026","Update entity","Exercises","",""
"","18","Create file","LMS service","Tue Apr 07 07:46:31 UTC 2026","passed","Tue Apr 07 07:46:31 UTC 2026","Create entity","Files","",""
"","19","Delete exercise","LMS service","Tue Apr 07 07:46:30 UTC 2026","passed","Tue Apr 07 07:46:30 UTC 2026","Delete entity","Exercises","",""
"","558","Create user","LMS service","Tue Apr 07 07:46:34 UTC 2026","passed","Tue Apr 07 07:46:35 UTC 2026","Create entity","Users","",""
"","20","Delete file","LMS service","Tue Apr 07 07:46:34 UTC 2026","passed","Tue Apr 07 07:46:34 UTC 2026","Delete entity","Files","",""
"","532","Create user","LMS service","Tue Apr 07 07:46:34 UTC 2026","passed","Tue Apr 07 07:46:34 UTC 2026","Create entity","Users","",""
