"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","550","Login with correct email and password","LMS service","Sat Apr 04 11:01:06 UTC 2026","passed","Sat Apr 04 11:01:07 UTC 2026","Login","Authentication","",""
"","259","Get file with incorrect file id","LMS service","Sat Apr 04 11:01:15 UTC 2026","passed","Sat Apr 04 11:01:15 UTC 2026","Validate entity","Files","",""
"","295","Create exercise","LMS service","Sat Apr 04 11:01:09 UTC 2026","passed","Sat Apr 04 11:01:09 UTC 2026","Create entity","Exercises","",""
"","286","Create user","LMS service","Sat Apr 04 11:01:15 UTC 2026","passed","Sat Apr 04 11:01:15 UTC 2026","Create entity","Users","",""
"","27","Create course","LMS service","Sat Apr 04 11:01:08 UTC 2026","passed","Sat Apr 04 11:01:08 UTC 2026","Create entity","Courses","",""
"","265","Create file","LMS service","Sat Apr 04 11:01:12 UTC 2026","passed","Sat Apr 04 11:01:12 UTC 2026","Create entity","Files","",""
"","19","Get exercises","LMS service","Sat Apr 04 11:01:11 UTC 2026","passed","Sat Apr 04 11:01:11 UTC 2026","Get entities","Exercises","",""
"","20","Update exercise","LMS service","Sat Apr 04 11:01:10 UTC 2026","passed","Sat Apr 04 11:01:10 UTC 2026","Update entity","Exercises","",""
"","263","Create file with empty filename","LMS service","Sat Apr 04 11:01:13 UTC 2026","passed","Sat Apr 04 11:01:13 UTC 2026","Validate entity","Files","",""
"","299","Update course","LMS service","Sat Apr 04 11:01:08 UTC 2026","passed","Sat Apr 04 11:01:08 UTC 2026","Update entity","Courses","",""
"","559","Create user","LMS service","Sat Apr 04 11:01:15 UTC 2026","passed","Sat Apr 04 11:01:15 UTC 2026","Create entity","Users","",""
"","291","Get exercise","LMS service","Sat Apr 04 11:01:10 UTC 2026","passed","Sat Apr 04 11:01:10 UTC 2026","Get entity","Exercises","",""
"","31","Get course","LMS service","Sat Apr 04 11:01:07 UTC 2026","passed","Sat Apr 04 11:01:07 UTC 2026","Get entities","Courses","",""
"","537","Create user","LMS service","Sat Apr 04 11:01:14 UTC 2026","passed","Sat Apr 04 11:01:15 UTC 2026","Create entity","Users","",""
"","12","Get file","LMS service","Sat Apr 04 11:01:12 UTC 2026","passed","Sat Apr 04 11:01:12 UTC 2026","Get entity","Files","",""
"","25","Delete file","LMS service","Sat Apr 04 11:01:14 UTC 2026","passed","Sat Apr 04 11:01:14 UTC 2026","Delete entity","Files","",""
"","13","Get user me","LMS service","Sat Apr 04 11:01:16 UTC 2026","passed","Sat Apr 04 11:01:16 UTC 2026","Get entities","Users","",""
"","264","Create file with empty directory","LMS service","Sat Apr 04 11:01:13 UTC 2026","passed","Sat Apr 04 11:01:14 UTC 2026","Validate entity","Files","",""
"","289","Delete exercise","LMS service","Sat Apr 04 11:01:11 UTC 2026","passed","Sat Apr 04 11:01:11 UTC 2026","Delete entity","Exercises","",""
