"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","264","Create file with empty directory","LMS service","Tue Apr 07 08:19:00 UTC 2026","passed","Tue Apr 07 08:19:01 UTC 2026","Validate entity","Files","",""
"","13","Get user me","LMS service","Tue Apr 07 08:19:03 UTC 2026","passed","Tue Apr 07 08:19:03 UTC 2026","Get entities","Users","",""
"","29","Delete exercise","LMS service","Tue Apr 07 08:18:58 UTC 2026","passed","Tue Apr 07 08:18:58 UTC 2026","Delete entity","Exercises","",""
"","561","Create user","LMS service","Tue Apr 07 08:19:02 UTC 2026","passed","Tue Apr 07 08:19:02 UTC 2026","Create entity","Users","",""
"","539","Create user","LMS service","Tue Apr 07 08:19:01 UTC 2026","passed","Tue Apr 07 08:19:02 UTC 2026","Create entity","Users","",""
"","301","Get course","LMS service","Tue Apr 07 08:18:54 UTC 2026","passed","Tue Apr 07 08:18:54 UTC 2026","Get entities","Courses","",""
"","290","Create user","LMS service","Tue Apr 07 08:19:02 UTC 2026","passed","Tue Apr 07 08:19:02 UTC 2026","Create entity","Users","",""
"","265","Get file with incorrect file id","LMS service","Tue Apr 07 08:19:02 UTC 2026","passed","Tue Apr 07 08:19:02 UTC 2026","Validate entity","Files","",""
"","263","Create file with empty filename","LMS service","Tue Apr 07 08:19:00 UTC 2026","passed","Tue Apr 07 08:19:00 UTC 2026","Validate entity","Files","",""
"","18","Get exercises","LMS service","Tue Apr 07 08:18:58 UTC 2026","passed","Tue Apr 07 08:18:58 UTC 2026","Get entities","Exercises","",""
"","21","Get exercise","LMS service","Tue Apr 07 08:18:57 UTC 2026","passed","Tue Apr 07 08:18:57 UTC 2026","Get entity","Exercises","",""
"","22","Create exercise","LMS service","Tue Apr 07 08:18:56 UTC 2026","passed","Tue Apr 07 08:18:56 UTC 2026","Create entity","Exercises","",""
"","27","Delete file","LMS service","Tue Apr 07 08:19:01 UTC 2026","passed","Tue Apr 07 08:19:01 UTC 2026","Delete entity","Files","",""
"","287","Get file","LMS service","Tue Apr 07 08:18:59 UTC 2026","passed","Tue Apr 07 08:18:59 UTC 2026","Get entity","Files","",""
"","37","Update course","LMS service","Tue Apr 07 08:18:56 UTC 2026","passed","Tue Apr 07 08:18:56 UTC 2026","Update entity","Courses","",""
"","261","Create file","LMS service","Tue Apr 07 08:18:59 UTC 2026","passed","Tue Apr 07 08:18:59 UTC 2026","Create entity","Files","",""
"","286","Login with correct email and password","LMS service","Tue Apr 07 08:18:53 UTC 2026","passed","Tue Apr 07 08:18:53 UTC 2026","Login","Authentication","",""
"","29","Update exercise","LMS service","Tue Apr 07 08:18:57 UTC 2026","passed","Tue Apr 07 08:18:57 UTC 2026","Update entity","Exercises","",""
"","32","Create course","LMS service","Tue Apr 07 08:18:54 UTC 2026","passed","Tue Apr 07 08:18:54 UTC 2026","Create entity","Courses","",""
