"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","263","Create file with empty filename","LMS service","Wed Apr 01 08:00:07 UTC 2026","passed","Wed Apr 01 08:00:08 UTC 2026","Validate entity","Files","",""
"","524","Create user","LMS service","Wed Apr 01 08:00:09 UTC 2026","passed","Wed Apr 01 08:00:10 UTC 2026","Create entity","Users","",""
"","261","Create file","LMS service","Wed Apr 01 08:00:06 UTC 2026","passed","Wed Apr 01 08:00:07 UTC 2026","Create entity","Files","",""
"","21","Create exercise","LMS service","Wed Apr 01 08:00:03 UTC 2026","passed","Wed Apr 01 08:00:03 UTC 2026","Create entity","Exercises","",""
"","38","Update course","LMS service","Wed Apr 01 08:00:03 UTC 2026","passed","Wed Apr 01 08:00:03 UTC 2026","Update entity","Courses","",""
"","288","Create user","LMS service","Wed Apr 01 08:00:09 UTC 2026","passed","Wed Apr 01 08:00:09 UTC 2026","Create entity","Users","",""
"","18","Get exercise","LMS service","Wed Apr 01 08:00:04 UTC 2026","passed","Wed Apr 01 08:00:04 UTC 2026","Get entity","Exercises","",""
"","26","Delete exercise","LMS service","Wed Apr 01 08:00:05 UTC 2026","passed","Wed Apr 01 08:00:05 UTC 2026","Delete entity","Exercises","",""
"","28","Create course","LMS service","Wed Apr 01 08:00:02 UTC 2026","passed","Wed Apr 01 08:00:02 UTC 2026","Create entity","Courses","",""
"","15","Get exercises","LMS service","Wed Apr 01 08:00:05 UTC 2026","passed","Wed Apr 01 08:00:05 UTC 2026","Get entities","Exercises","",""
"","24","Update exercise","LMS service","Wed Apr 01 08:00:04 UTC 2026","passed","Wed Apr 01 08:00:04 UTC 2026","Update entity","Exercises","",""
"","25","Delete file","LMS service","Wed Apr 01 08:00:09 UTC 2026","passed","Wed Apr 01 08:00:09 UTC 2026","Delete entity","Files","",""
"","557","Create user","LMS service","Wed Apr 01 08:00:09 UTC 2026","passed","Wed Apr 01 08:00:09 UTC 2026","Create entity","Users","",""
"","300","Get course","LMS service","Wed Apr 01 08:00:02 UTC 2026","passed","Wed Apr 01 08:00:02 UTC 2026","Get entities","Courses","",""
"","15","Get file with incorrect file id","LMS service","Wed Apr 01 08:00:09 UTC 2026","passed","Wed Apr 01 08:00:09 UTC 2026","Validate entity","Files","",""
"","17","Get file","LMS service","Wed Apr 01 08:00:07 UTC 2026","passed","Wed Apr 01 08:00:07 UTC 2026","Get entity","Files","",""
"","12","Get user me","LMS service","Wed Apr 01 08:00:10 UTC 2026","passed","Wed Apr 01 08:00:10 UTC 2026","Get entities","Users","",""
"","15","Create file with empty directory","LMS service","Wed Apr 01 08:00:08 UTC 2026","passed","Wed Apr 01 08:00:08 UTC 2026","Validate entity","Files","",""
"","285","Login with correct email and password","LMS service","Wed Apr 01 08:00:01 UTC 2026","passed","Wed Apr 01 08:00:01 UTC 2026","Login","Authentication","",""
