"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","270","Get file with incorrect file id","LMS service","Wed Apr 01 07:59:44 UTC 2026","passed","Wed Apr 01 07:59:44 UTC 2026","Validate entity","Files","",""
"","20","Delete exercise","LMS service","Wed Apr 01 07:59:40 UTC 2026","passed","Wed Apr 01 07:59:40 UTC 2026","Delete entity","Exercises","",""
"","21","Delete file","LMS service","Wed Apr 01 07:59:44 UTC 2026","passed","Wed Apr 01 07:59:44 UTC 2026","Delete entity","Files","",""
"","269","Create file with empty directory","LMS service","Wed Apr 01 07:59:43 UTC 2026","passed","Wed Apr 01 07:59:43 UTC 2026","Validate entity","Files","",""
"","23","Get exercises","LMS service","Wed Apr 01 07:59:41 UTC 2026","passed","Wed Apr 01 07:59:41 UTC 2026","Get entities","Exercises","",""
"","29","Get exercise","LMS service","Wed Apr 01 07:59:40 UTC 2026","passed","Wed Apr 01 07:59:40 UTC 2026","Get entity","Exercises","",""
"","12","Get user me","LMS service","Wed Apr 01 07:59:46 UTC 2026","passed","Wed Apr 01 07:59:46 UTC 2026","Get entities","Users","",""
"","257","Create file with empty filename","LMS service","Wed Apr 01 07:59:42 UTC 2026","passed","Wed Apr 01 07:59:42 UTC 2026","Validate entity","Files","",""
"","29","Update course","LMS service","Wed Apr 01 07:59:38 UTC 2026","passed","Wed Apr 01 07:59:38 UTC 2026","Update entity","Courses","",""
"","287","Get file","LMS service","Wed Apr 01 07:59:42 UTC 2026","passed","Wed Apr 01 07:59:43 UTC 2026","Get entity","Files","",""
"","549","Login with correct email and password","LMS service","Wed Apr 01 07:59:36 UTC 2026","passed","Wed Apr 01 07:59:36 UTC 2026","Login","Authentication","",""
"","31","Get course","LMS service","Wed Apr 01 07:59:36 UTC 2026","passed","Wed Apr 01 07:59:36 UTC 2026","Get entities","Courses","",""
"","26","Update exercise","LMS service","Wed Apr 01 07:59:39 UTC 2026","passed","Wed Apr 01 07:59:39 UTC 2026","Update entity","Exercises","",""
"","560","Create user","LMS service","Wed Apr 01 07:59:44 UTC 2026","passed","Wed Apr 01 07:59:45 UTC 2026","Create entity","Users","",""
"","560","Create user","LMS service","Wed Apr 01 07:59:44 UTC 2026","passed","Wed Apr 01 07:59:45 UTC 2026","Create entity","Users","",""
"","26","Create exercise","LMS service","Wed Apr 01 07:59:39 UTC 2026","passed","Wed Apr 01 07:59:39 UTC 2026","Create entity","Exercises","",""
"","30","Create course","LMS service","Wed Apr 01 07:59:38 UTC 2026","passed","Wed Apr 01 07:59:38 UTC 2026","Create entity","Courses","",""
"","22","Create file","LMS service","Wed Apr 01 07:59:41 UTC 2026","passed","Wed Apr 01 07:59:41 UTC 2026","Create entity","Files","",""
"","528","Create user","LMS service","Wed Apr 01 07:59:44 UTC 2026","passed","Wed Apr 01 07:59:44 UTC 2026","Create entity","Users","",""
