"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28","Get exercise","LMS service","Sat Apr 04 11:23:26 UTC 2026","passed","Sat Apr 04 11:23:26 UTC 2026","Get entity","Exercises","",""
"","288","Get file","LMS service","Sat Apr 04 11:23:29 UTC 2026","passed","Sat Apr 04 11:23:29 UTC 2026","Get entity","Files","",""
"","262","Create file with empty filename","LMS service","Sat Apr 04 11:23:28 UTC 2026","passed","Sat Apr 04 11:23:29 UTC 2026","Validate entity","Files","",""
"","20","Delete file","LMS service","Sat Apr 04 11:23:30 UTC 2026","passed","Sat Apr 04 11:23:30 UTC 2026","Delete entity","Files","",""
"","490","Get file with incorrect file id","LMS service","Sat Apr 04 11:23:31 UTC 2026","passed","Sat Apr 04 11:23:31 UTC 2026","Validate entity","Files","",""
"","23","Create file","LMS service","Sat Apr 04 11:23:28 UTC 2026","passed","Sat Apr 04 11:23:28 UTC 2026","Create entity","Files","",""
"","33","Get course","LMS service","Sat Apr 04 11:23:23 UTC 2026","passed","Sat Apr 04 11:23:23 UTC 2026","Get entities","Courses","",""
"","20","Delete exercise","LMS service","Sat Apr 04 11:23:26 UTC 2026","passed","Sat Apr 04 11:23:26 UTC 2026","Delete entity","Exercises","",""
"","25","Create exercise","LMS service","Sat Apr 04 11:23:25 UTC 2026","passed","Sat Apr 04 11:23:25 UTC 2026","Create entity","Exercises","",""
"","289","Create user","LMS service","Sat Apr 04 11:23:31 UTC 2026","passed","Sat Apr 04 11:23:31 UTC 2026","Create entity","Users","",""
"","29","Update exercise","LMS service","Sat Apr 04 11:23:25 UTC 2026","passed","Sat Apr 04 11:23:25 UTC 2026","Update entity","Exercises","",""
"","30","Create course","LMS service","Sat Apr 04 11:23:24 UTC 2026","passed","Sat Apr 04 11:23:24 UTC 2026","Create entity","Courses","",""
"","30","Update course","LMS service","Sat Apr 04 11:23:24 UTC 2026","passed","Sat Apr 04 11:23:24 UTC 2026","Update entity","Courses","",""
"","555","Login with correct email and password","LMS service","Sat Apr 04 11:23:22 UTC 2026","passed","Sat Apr 04 11:23:23 UTC 2026","Login","Authentication","",""
"","748","Create user","LMS service","Sat Apr 04 11:23:30 UTC 2026","passed","Sat Apr 04 11:23:31 UTC 2026","Create entity","Users","",""
"","20","Get exercises","LMS service","Sat Apr 04 11:23:28 UTC 2026","passed","Sat Apr 04 11:23:28 UTC 2026","Get entities","Exercises","",""
"","551","Create user","LMS service","Sat Apr 04 11:23:31 UTC 2026","passed","Sat Apr 04 11:23:32 UTC 2026","Create entity","Users","",""
"","13","Get user me","LMS service","Sat Apr 04 11:23:32 UTC 2026","passed","Sat Apr 04 11:23:32 UTC 2026","Get entities","Users","",""
"","274","Create file with empty directory","LMS service","Sat Apr 04 11:23:29 UTC 2026","passed","Sat Apr 04 11:23:30 UTC 2026","Validate entity","Files","",""
