"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","Delete file","LMS service","Wed Apr 01 13:42:55 UTC 2026","passed","Wed Apr 01 13:42:55 UTC 2026","Delete entity","Files","",""
"","24","Get exercise","LMS service","Wed Apr 01 13:42:51 UTC 2026","passed","Wed Apr 01 13:42:51 UTC 2026","Get entity","Exercises","",""
"","277","Create user","LMS service","Wed Apr 01 13:42:55 UTC 2026","passed","Wed Apr 01 13:42:55 UTC 2026","Create entity","Users","",""
"","536","Create user","LMS service","Wed Apr 01 13:42:55 UTC 2026","passed","Wed Apr 01 13:42:56 UTC 2026","Create entity","Users","",""
"","274","Get file","LMS service","Wed Apr 01 13:42:53 UTC 2026","passed","Wed Apr 01 13:42:54 UTC 2026","Get entity","Files","",""
"","23","Create exercise","LMS service","Wed Apr 01 13:42:50 UTC 2026","passed","Wed Apr 01 13:42:50 UTC 2026","Create entity","Exercises","",""
"","31","Create course","LMS service","Wed Apr 01 13:42:49 UTC 2026","passed","Wed Apr 01 13:42:49 UTC 2026","Create entity","Courses","",""
"","13","Get user me","LMS service","Wed Apr 01 13:42:56 UTC 2026","passed","Wed Apr 01 13:42:56 UTC 2026","Get entities","Users","",""
"","526","Login with correct email and password","LMS service","Wed Apr 01 13:42:47 UTC 2026","passed","Wed Apr 01 13:42:48 UTC 2026","Login","Authentication","",""
"","246","Get file with incorrect file id","LMS service","Wed Apr 01 13:42:55 UTC 2026","passed","Wed Apr 01 13:42:55 UTC 2026","Validate entity","Files","",""
"","33","Update course","LMS service","Wed Apr 01 13:42:49 UTC 2026","passed","Wed Apr 01 13:42:49 UTC 2026","Update entity","Courses","",""
"","29","Update exercise","LMS service","Wed Apr 01 13:42:50 UTC 2026","passed","Wed Apr 01 13:42:50 UTC 2026","Update entity","Exercises","",""
"","243","Create file with empty filename","LMS service","Wed Apr 01 13:42:53 UTC 2026","passed","Wed Apr 01 13:42:53 UTC 2026","Validate entity","Files","",""
"","499","Create user","LMS service","Wed Apr 01 13:42:55 UTC 2026","passed","Wed Apr 01 13:42:55 UTC 2026","Create entity","Users","",""
"","258","Create file with empty directory","LMS service","Wed Apr 01 13:42:54 UTC 2026","passed","Wed Apr 01 13:42:54 UTC 2026","Validate entity","Files","",""
"","16","Get exercises","LMS service","Wed Apr 01 13:42:52 UTC 2026","passed","Wed Apr 01 13:42:52 UTC 2026","Get entities","Exercises","",""
"","24","Create file","LMS service","Wed Apr 01 13:42:52 UTC 2026","passed","Wed Apr 01 13:42:52 UTC 2026","Create entity","Files","",""
"","28","Get course","LMS service","Wed Apr 01 13:42:48 UTC 2026","passed","Wed Apr 01 13:42:48 UTC 2026","Get entities","Courses","",""
"","17","Delete exercise","LMS service","Wed Apr 01 13:42:51 UTC 2026","passed","Wed Apr 01 13:42:51 UTC 2026","Delete entity","Exercises","",""
